A00	Cholera
C91.Z	Other lymphoid leukemia
C91.Z0	Other lymphoid leukemia not having achieved remission
C91.Z1	Other lymphoid leukemia, in remission
C91.Z2	Other lymphoid leukemia, in relapse
C91.9	Lymphoid leukemia, unspecified
C91.90	Lymphoid leukemia, unspecified not having achieved remission
C91.91	Lymphoid leukemia, unspecified, in remission
C91.92	Lymphoid leukemia, unspecified, in relapse
C92	Myeloid leukemia
C92.0	Acute myeloblastic leukemia
C92.00	Acute myeloblastic leukemia, not having achieved remission
C92.01	Acute myeloblastic leukemia, in remission
C92.02	Acute myeloblastic leukemia, in relapse
C92.1	Chronic myeloid leukemia, BCR/ABL-positive
C92.10	Chronic myeloid leukemia, BCR/ABL-positive, not having achieved remission
C92.11	Chronic myeloid leukemia, BCR/ABL-positive, in remission
C92.12	Chronic myeloid leukemia, BCR/ABL-positive, in relapse
C92.2	Atypical chronic myeloid leukemia, BCR/ABL-negative
C92.20	Atypical chronic myeloid leukemia, BCR/ABL-negative, not having achieved remission
C92.21	Atypical chronic myeloid leukemia, BCR/ABL-negative, in remission
C92.22	Atypical chronic myeloid leukemia, BCR/ABL-negative, in relapse
C92.3	Myeloid sarcoma
C92.30	Myeloid sarcoma, not having achieved remission
C92.31	Myeloid sarcoma, in remission
C92.32	Myeloid sarcoma, in relapse
C92.4	Acute promyelocytic leukemia
C92.40	Acute promyelocytic leukemia, not having achieved remission
C92.41	Acute promyelocytic leukemia, in remission
C92.42	Acute promyelocytic leukemia, in relapse
C92.5	Acute myelomonocytic leukemia
C92.50	Acute myelomonocytic leukemia, not having achieved remission
C92.51	Acute myelomonocytic leukemia, in remission
C92.52	Acute myelomonocytic leukemia, in relapse
C92.6	Acute myeloid leukemia with 11q23-abnormality
C92.60	Acute myeloid leukemia with 11q23-abnormality not having achieved remission
C92.61	Acute myeloid leukemia with 11q23-abnormality in remission
C92.62	Acute myeloid leukemia with 11q23-abnormality in relapse
C92.A	Acute myeloid leukemia with multilineage dysplasia
C92.A0	Acute myeloid leukemia with multilineage dysplasia, not having achieved remission
C92.A1	Acute myeloid leukemia with multilineage dysplasia, in remission
C92.A2	Acute myeloid leukemia with multilineage dysplasia, in relapse
C92.Z	Other myeloid leukemia
C92.Z0	Other myeloid leukemia not having achieved remission
C92.Z1	Other myeloid leukemia, in remission
C92.Z2	Other myeloid leukemia, in relapse
C92.9	Myeloid leukemia, unspecified
C92.90	Myeloid leukemia, unspecified, not having achieved remission
C92.91	Myeloid leukemia, unspecified in remission
C92.92	Myeloid leukemia, unspecified in relapse
C93	Monocytic leukemia
C93.0	Acute monoblastic/monocytic leukemia
C93.00	Acute monoblastic/monocytic leukemia, not having achieved remission
C93.01	Acute monoblastic/monocytic leukemia, in remission
C93.02	Acute monoblastic/monocytic leukemia, in relapse
C93.1	Chronic myelomonocytic leukemia
C93.10	Chronic myelomonocytic leukemia not having achieved remission
C93.11	Chronic myelomonocytic leukemia, in remission
C93.12	Chronic myelomonocytic leukemia, in relapse
C93.3	Juvenile myelomonocytic leukemia
C93.30	Juvenile myelomonocytic leukemia, not having achieved remission
C93.31	Juvenile myelomonocytic leukemia, in remission
C93.32	Juvenile myelomonocytic leukemia, in relapse
C93.Z	Other monocytic leukemia
C93.Z0	Other monocytic leukemia, not having achieved remission
C93.Z1	Other monocytic leukemia, in remission
C93.Z2	Other monocytic leukemia, in relapse
C93.9	Monocytic leukemia, unspecified
C93.90	Monocytic leukemia, unspecified, not having achieved remission
C93.91	Monocytic leukemia, unspecified in remission
C93.92	Monocytic leukemia, unspecified in relapse
C94	Other leukemias of specified cell type
C94.0	Acute erythroid leukemia
C94.00	Acute erythroid leukemia, not having achieved remission
C94.01	Acute erythroid leukemia, in remission
C94.02	Acute erythroid leukemia, in relapse
C94.2	Acute megakaryoblastic leukemia
C94.20	Acute megakaryoblastic leukemia not having achieved remission
C94.21	Acute megakaryoblastic leukemia, in remission
C94.22	Acute megakaryoblastic leukemia, in relapse
C94.3	Mast cell leukemia
C94.30	Mast cell leukemia not having achieved remission
C94.31	Mast cell leukemia, in remission
C94.32	Mast cell leukemia, in relapse
C94.4	Acute panmyelosis with myelofibrosis
C94.40	Acute panmyelosis with myelofibrosis not having achieved remission
C94.41	Acute panmyelosis with myelofibrosis, in remission
C94.42	Acute panmyelosis with myelofibrosis, in relapse
C94.6	Myelodysplastic disease, not classified
C94.8	Other specified leukemias
C94.80	Other specified leukemias not having achieved remission
C94.81	Other specified leukemias, in remission
C94.82	Other specified leukemias, in relapse
C95	Leukemia of unspecified cell type
C95.0	Acute leukemia of unspecified cell type
C95.00	Acute leukemia of unspecified cell type not having achieved remission
C95.01	Acute leukemia of unspecified cell type, in remission
C95.02	Acute leukemia of unspecified cell type, in relapse
C95.1	Chronic leukemia of unspecified cell type
C95.10	Chronic leukemia of unspecified cell type not having achieved remission
C95.11	Chronic leukemia of unspecified cell type, in remission
C95.12	Chronic leukemia of unspecified cell type, in relapse
C95.9	Leukemia, unspecified
C95.90	Leukemia, unspecified not having achieved remission
C95.91	Leukemia, unspecified, in remission
C95.92	Leukemia, unspecified, in relapse
C96	Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue
C96.0	Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis
C96.2	Malignant mast cell tumor
C96.4	Sarcoma of dendritic cells (accessory cells)
C96.5	Multifocal and unisystemic Langerhans-cell histiocytosis
C96.6	Unifocal Langerhans-cell histiocytosis
C96.A	Histiocytic sarcoma
C96.Z	Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue
C96.9	Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified
D00	Carcinoma in situ of oral cavity, esophagus and stomach
D00.0	Carcinoma in situ of lip, oral cavity and pharynx
D00.00	Carcinoma in situ of oral cavity, unspecified site
D00.01	Carcinoma in situ of labial mucosa and vermilion border
D00.02	Carcinoma in situ of buccal mucosa
D00.03	Carcinoma in situ of gingiva and edentulous alveolar ridge
D00.04	Carcinoma in situ of soft palate
D00.05	Carcinoma in situ of hard palate
D00.06	Carcinoma in situ of floor of mouth
D00.07	Carcinoma in situ of tongue
D00.08	Carcinoma in situ of pharynx
D00.1	Carcinoma in situ of esophagus
D00.2	Carcinoma in situ of stomach
D01	Carcinoma in situ of other and unspecified digestive organs
D01.0	Carcinoma in situ of colon
D01.1	Carcinoma in situ of rectosigmoid junction
D01.2	Carcinoma in situ of rectum
D01.3	Carcinoma in situ of anus and anal canal
D01.4	Carcinoma in situ of other and unspecified parts of intestine
D01.40	Carcinoma in situ of unspecified part of intestine
D01.49	Carcinoma in situ of other parts of intestine
D01.5	Carcinoma in situ of liver, gallbladder and bile ducts
D01.7	Carcinoma in situ of other specified digestive organs
D01.9	Carcinoma in situ of digestive organ, unspecified
D02	Carcinoma in situ of middle ear and respiratory system
D02.0	Carcinoma in situ of larynx
D02.1	Carcinoma in situ of trachea
D02.2	Carcinoma in situ of bronchus and lung
D02.20	Carcinoma in situ of unspecified bronchus and lung
D02.21	Carcinoma in situ of right bronchus and lung
D02.22	Carcinoma in situ of left bronchus and lung
D02.3	Carcinoma in situ of other parts of respiratory system
D02.4	Carcinoma in situ of respiratory system, unspecified
D03	Melanoma in situ
D03.0	Melanoma in situ of lip
D03.1	Melanoma in situ of eyelid, including canthus
D03.10	Melanoma in situ of unspecified eyelid, including canthus
D03.11	Melanoma in situ of right eyelid, including canthus
D03.12	Melanoma in situ of left eyelid, including canthus
D03.2	Melanoma in situ of ear and external auricular canal
D03.20	Melanoma in situ of unspecified ear and external auricular canal
D03.21	Melanoma in situ of right ear and external auricular canal
D03.22	Melanoma in situ of left ear and external auricular canal
D03.3	Melanoma in situ of other and unspecified parts of face
D03.30	Melanoma in situ of unspecified part of face
D03.39	Melanoma in situ of other parts of face
D03.4	Melanoma in situ of scalp and neck
D03.5	Melanoma in situ of trunk
D03.51	Melanoma in situ of anal skin
D03.52	Melanoma in situ of breast (skin) (soft tissue)
D03.59	Melanoma in situ of other part of trunk
D03.6	Melanoma in situ of upper limb, including shoulder
D03.60	Melanoma in situ of unspecified upper limb, including shoulder
D03.61	Melanoma in situ of right upper limb, including shoulder
D03.62	Melanoma in situ of left upper limb, including shoulder
D03.7	Melanoma in situ of lower limb, including hip
D03.70	Melanoma in situ of unspecified lower limb, including hip
D03.71	Melanoma in situ of right lower limb, including hip
D03.72	Melanoma in situ of left lower limb, including hip
D03.8	Melanoma in situ of other sites
D03.9	Melanoma in situ, unspecified
D04	Carcinoma in situ of skin
D04.0	Carcinoma in situ of skin of lip
D04.1	Carcinoma in situ of skin of eyelid, including canthus
D04.10	Carcinoma in situ of skin of unspecified eyelid, including canthus
D04.11	Carcinoma in situ of skin of right eyelid, including canthus
D04.12	Carcinoma in situ of skin of left eyelid, including canthus
D04.2	Carcinoma in situ of skin of ear and external auricular canal
D04.20	Carcinoma in situ of skin of unspecified ear and external auricular canal
D04.21	Carcinoma in situ of skin of right ear and external auricular canal
D04.22	Carcinoma in situ of skin of left ear and external auricular canal
D04.3	Carcinoma in situ of skin of other and unspecified parts of face
D04.30	Carcinoma in situ of skin of unspecified part of face
D04.39	Carcinoma in situ of skin of other parts of face
D04.4	Carcinoma in situ of skin of scalp and neck
D04.5	Carcinoma in situ of skin of trunk
D04.6	Carcinoma in situ of skin of upper limb, including shoulder
D04.60	Carcinoma in situ of skin of unspecified upper limb, including shoulder
D04.61	Carcinoma in situ of skin of right upper limb, including shoulder
D04.62	Carcinoma in situ of skin of left upper limb, including shoulder
D04.7	Carcinoma in situ of skin of lower limb, including hip
D04.70	Carcinoma in situ of skin of unspecified lower limb, including hip
D04.71	Carcinoma in situ of skin of right lower limb, including hip
D04.72	Carcinoma in situ of skin of left lower limb, including hip
D04.8	Carcinoma in situ of skin of other sites
D04.9	Carcinoma in situ of skin, unspecified
D05	Carcinoma in situ of breast
D05.0	Lobular carcinoma in situ of breast
D05.00	Lobular carcinoma in situ of unspecified breast
D05.01	Lobular carcinoma in situ of right breast
D05.02	Lobular carcinoma in situ of left breast
D05.1	Intraductal carcinoma in situ of breast
D05.10	Intraductal carcinoma in situ of unspecified breast
D05.11	Intraductal carcinoma in situ of right breast
D05.12	Intraductal carcinoma in situ of left breast
D05.8	Other specified type of carcinoma in situ of breast
D05.80	Other specified type of carcinoma in situ of unspecified breast
D05.81	Other specified type of carcinoma in situ of right breast
D05.82	Other specified type of carcinoma in situ of left breast
D05.9	Unspecified type of carcinoma in situ of breast
D05.90	Unspecified type of carcinoma in situ of unspecified breast
D05.91	Unspecified type of carcinoma in situ of right breast
D05.92	Unspecified type of carcinoma in situ of left breast
D06	Carcinoma in situ of cervix uteri
D06.0	Carcinoma in situ of endocervix
D06.1	Carcinoma in situ of exocervix
D06.7	Carcinoma in situ of other parts of cervix
D06.9	Carcinoma in situ of cervix, unspecified
D07	Carcinoma in situ of other and unspecified genital organs
D07.0	Carcinoma in situ of endometrium
D07.1	Carcinoma in situ of vulva
D07.2	Carcinoma in situ of vagina
D07.3	Carcinoma in situ of other and unspecified female genital organs
D07.30	Carcinoma in situ of unspecified female genital organs
D07.39	Carcinoma in situ of other female genital organs
D07.4	Carcinoma in situ of penis
D07.5	Carcinoma in situ of prostate
D07.6	Carcinoma in situ of other and unspecified male genital organs
D07.60	Carcinoma in situ of unspecified male genital organs
D07.61	Carcinoma in situ of scrotum
D07.69	Carcinoma in situ of other male genital organs
D09	Carcinoma in situ of other and unspecified sites
D09.0	Carcinoma in situ of bladder
D09.1	Carcinoma in situ of other and unspecified urinary organs
D09.10	Carcinoma in situ of unspecified urinary organ
D09.19	Carcinoma in situ of other urinary organs
D09.2	Carcinoma in situ of eye
D09.20	Carcinoma in situ of unspecified eye
D09.21	Carcinoma in situ of right eye
D09.22	Carcinoma in situ of left eye
D09.3	Carcinoma in situ of thyroid and other endocrine glands
D09.8	Carcinoma in situ of other specified sites
D09.9	Carcinoma in situ, unspecified
D10	Benign neoplasm of mouth and pharynx
D10.0	Benign neoplasm of lip
D10.1	Benign neoplasm of tongue
D10.2	Benign neoplasm of floor of mouth
D10.3	Other and unspecified parts of mouth
D10.30	Benign neoplasm of unspecified part of mouth
D10.39	Benign neoplasm of other parts of mouth
D10.4	Benign neoplasm of tonsil
D10.5	Benign neoplasm of other parts of oropharynx
D10.6	Benign neoplasm of nasopharynx
D10.7	Benign neoplasm of hypopharynx
D10.9	Benign neoplasm of pharynx, unspecified
D11	Benign neoplasm of major salivary glands
D11.0	Benign neoplasm of parotid gland
D11.7	Benign neoplasm of other major salivary glands
D11.9	Benign neoplasm of major salivary gland, unspecified
D12	Benign neoplasm of colon, rectum, anus and anal canal
D12.0	Benign neoplasm of cecum
D12.1	Benign neoplasm of appendix
D12.2	Benign neoplasm of ascending colon
D12.3	Benign neoplasm of transverse colon
D12.4	Benign neoplasm of descending colon
D12.5	Benign neoplasm of sigmoid colon
D12.6	Benign neoplasm of colon, unspecified
D12.7	Benign neoplasm of rectosigmoid junction
D12.8	Benign neoplasm of rectum
D12.9	Benign neoplasm of anus and anal canal
D13	Benign neoplasm of other and ill-defined parts of digestive system
D13.0	Benign neoplasm of esophagus
D13.1	Benign neoplasm of stomach
D13.2	Benign neoplasm of duodenum
D13.3	Benign neoplasm of other and unspecified parts of small intestine
D13.30	Benign neoplasm of unspecified part of small intestine
D13.39	Benign neoplasm of other parts of small intestine
D13.4	Benign neoplasm of liver
D13.5	Benign neoplasm of extrahepatic bile ducts
D13.6	Benign neoplasm of pancreas
D13.7	Benign neoplasm of endocrine pancreas
D13.9	Benign neoplasm of ill-defined sites within the digestive system
D14	Benign neoplasm of middle ear and respiratory system
D14.0	Benign neoplasm of middle ear, nasal cavity and accessory sinuses
D14.1	Benign neoplasm of larynx
D14.2	Benign neoplasm of trachea
D14.3	Benign neoplasm of bronchus and lung
D14.30	Benign neoplasm of unspecified bronchus and lung
D14.31	Benign neoplasm of right bronchus and lung
D14.32	Benign neoplasm of left bronchus and lung
D14.4	Benign neoplasm of respiratory system, unspecified
D15	Benign neoplasm of other and unspecified intrathoracic organs
D15.0	Benign neoplasm of thymus
D15.1	Benign neoplasm of heart
D15.2	Benign neoplasm of mediastinum
D15.7	Benign neoplasm of other specified intrathoracic organs
D15.9	Benign neoplasm of intrathoracic organ, unspecified
D16	Benign neoplasm of bone and articular cartilage
D16.0	Benign neoplasm of scapula and long bones of upper limb
D16.00	Benign neoplasm of scapula and long bones of unspecified upper limb
D16.01	Benign neoplasm of scapula and long bones of right upper limb
D16.02	Benign neoplasm of scapula and long bones of left upper limb
D16.1	Benign neoplasm of short bones of upper limb
D16.10	Benign neoplasm of short bones of unspecified upper limb
D16.11	Benign neoplasm of short bones of right upper limb
D16.12	Benign neoplasm of short bones of left upper limb
D16.2	Benign neoplasm of long bones of lower limb
D16.20	Benign neoplasm of long bones of unspecified lower limb
D16.21	Benign neoplasm of long bones of right lower limb
D16.22	Benign neoplasm of long bones of left lower limb
D16.3	Benign neoplasm of short bones of lower limb
D16.30	Benign neoplasm of short bones of unspecified lower limb
D16.31	Benign neoplasm of short bones of right lower limb
D16.32	Benign neoplasm of short bones of left lower limb
D16.4	Benign neoplasm of bones of skull and face
